season,lg,team,abbreviation,playoffs,age,w,l,pw,pl,mov,sos,srs,o_rtg,d_rtg,n_rtg,pace,f_tr,x3p_ar,ts_percent,e_fg_percent,tov_percent,orb_percent,ft_fga,opp_e_fg_percent,opp_tov_percent,drb_percent,opp_ft_fga,arena,attend,attend_g
2021,NBA,New Orleans Pelicans,NOP,0,24.8,31.0,41.0,35.0,37.0,-0.29,0.1,-0.2,113.5,113.8,-0.3,100.1,0.293,0.342,0.57,53.7,12.7,26.3,21.4,0.55,11.9,80.0,0.186,Smoothie King Center,93120.0,2587.0
2021,NBA,New York Knicks,NYK,1,25.6,41.0,31.0,41.0,31.0,2.31,-0.18,2.13,110.6,108.2,2.4,95.9,0.242,0.347,0.559,52.400000000000006,11.9,21.9,19.0,0.509,11.7,78.6,0.196,Madison Square Garden (IV),42131.0,1170.0
2021,NBA,Oklahoma City Thunder,OKC,0,22.8,22.0,50.0,15.0,57.0,-10.64,0.51,-10.13,103.5,114.0,-10.5,101.0,0.242,0.399,0.539,50.9,14.2,21.2,17.599999999999998,0.547,11.5,77.9,0.167,Chesapeake Energy Arena,,
2021,NBA,Orlando Magic,ORL,0,25.6,21.0,51.0,17.0,55.0,-9.31,0.29,-9.02,105.1,114.5,-9.4,98.7,0.24,0.356,0.527,49.0,11.5,21.6,18.6,0.547,11.5,78.2,0.169,Amway Center,126463.0,3513.0
2021,NBA,Philadelphia 76ers,PHI,1,27.1,49.0,23.0,48.0,24.0,5.58,-0.31,5.28,113.2,107.6,5.6,99.5,0.293,0.347,0.579,54.1,12.8,23.2,22.5,0.521,13.8,78.2,0.2,Wells Fargo Center,68583.0,1905.0
2021,NBA,Phoenix Suns,PHO,1,26.6,51.0,21.0,49.0,23.0,5.82,-0.15,5.67,117.2,111.3,5.9,97.2,0.212,0.392,0.597,56.39999999999999,11.5,20.8,17.7,0.534,12.4,78.5,0.194,Phoenix Suns Arena,104027.0,2890.0
2021,NBA,Portland Trail Blazers,POR,1,27.4,42.0,30.0,40.0,32.0,1.79,0.01,1.81,117.8,116.0,1.8,98.4,0.238,0.448,0.577,54.0,9.9,23.0,19.5,0.546,11.2,77.5,0.203,Moda Center,5817.0,162.0
2021,NBA,Sacramento Kings,SAC,0,25.6,31.0,41.0,28.0,44.0,-3.68,0.23,-3.45,113.6,117.2,-3.6,100.0,0.248,0.376,0.578,54.900000000000006,12.0,21.3,18.5,0.557,12.1,75.0,0.199,Golden 1 Center,,
2021,NBA,San Antonio Spurs,SAS,0,26.2,33.0,39.0,32.0,40.0,-1.74,0.15,-1.58,111.0,112.8,-1.8,98.9,0.243,0.314,0.554,51.7,10.2,20.0,19.2,0.541,11.8,77.3,0.174,AT&T Center,61053.0,1696.0
2021,NBA,Toronto Raptors,TOR,0,26.6,27.0,45.0,35.0,37.0,-0.47,-0.07,-0.54,112.0,112.5,-0.5,99.2,0.241,0.444,0.567,52.900000000000006,11.9,20.8,19.6,0.543,14.4,76.3,0.234,Amalie Arena,26024.0,723.0
2021,NBA,Utah Jazz,UTA,1,28.5,52.0,20.0,55.0,17.0,9.25,-0.29,8.97,117.6,108.3,9.3,98.5,0.244,0.488,0.597,56.3,12.7,24.5,19.5,0.507,10.3,79.3,0.159,Vivint Smart Home Arena,151300.0,4203.0
2021,NBA,Washington Wizards,WAS,1,26.6,34.0,38.0,32.0,40.0,-1.83,-0.01,-1.85,111.2,113.0,-1.8,104.1,0.288,0.319,0.569,53.1,12.3,21.3,22.1,0.539,12.5,77.6,0.217,Capital One Arena,19198.0,533.0
2020,NBA,Atlanta Hawks,ATL,0,24.1,20.0,47.0,18.0,49.0,-7.97,0.27,-7.71,107.2,114.8,-7.6,103.0,0.258,0.398,0.554,51.5,13.8,21.6,20.4,0.543,12.7,74.9,0.233,State Farm Arena,545453.0,16043.0
2020,NBA,Boston Celtics,BOS,1,25.3,48.0,24.0,50.0,22.0,6.31,-0.47,5.83,113.3,107.0,6.3,99.5,0.259,0.386,0.57,53.1,12.2,23.9,20.7,0.509,13.5,77.4,0.215,TD Garden,610864.0,19090.0
2020,NBA,Brooklyn Nets,BRK,1,26.3,35.0,37.0,35.0,37.0,-0.57,-0.44,-1.01,108.9,109.5,-0.6,101.4,0.267,0.423,0.554,52.0,13.1,23.2,19.900000000000002,0.511,11.0,77.8,0.187,Barclays Center,524907.0,16403.0
2020,NBA,Chicago Bulls,CHI,0,24.4,22.0,43.0,26.0,39.0,-3.08,-0.93,-4.0,106.7,109.8,-3.1,99.7,0.231,0.396,0.547,51.5,13.7,22.8,17.5,0.546,16.3,75.6,0.239,United Center,639352.0,18804.0
2020,NBA,Charlotte Hornets,CHO,0,24.3,23.0,42.0,19.0,46.0,-6.75,-0.28,-7.03,106.3,113.3,-7.0,95.8,0.252,0.399,0.539,50.4,13.3,23.9,18.8,0.546,13.1,74.4,0.159,Spectrum Center,478591.0,15428.0
2020,NBA,Cleveland Cavaliers,CLE,0,25.0,19.0,46.0,18.0,47.0,-7.89,0.12,-7.77,107.5,115.4,-7.9,98.7,0.227,0.362,0.553,52.2,14.6,24.6,17.2,0.56,11.7,77.4,0.164,Rocket Mortgage Fieldhouse,643008.0,17861.0
2020,NBA,Dallas Mavericks,DAL,1,26.1,43.0,32.0,49.0,26.0,4.95,-0.07,4.87,116.7,111.7,5.0,99.3,0.264,0.457,0.581,54.50000000000001,11.2,23.2,20.599999999999998,0.525,10.6,77.7,0.175,American Airlines Center,682096.0,20062.0
